No.	Size	Cred	Members
1	2	0.1740825917408259	{t2,t5}
2	3	0.0837916208379162	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.16698330166983302	{t1,t5}
5	3	0.0817918208179182	{t2,t3,t5}
6	4	0.09959004099590041	{t1,t2,t3,t5}
7	2	0.1720827917208279	{t3,t5}
8	3	0.08509149085091491	{t1,t3,t5}
9	3	0.08359164083591641	{t2,t4,t5}
10	4	0.09509049095090491	{t1,t2,t4,t5}
11	2	0.16398360163983602	{t4,t5}
12	3	0.08309169083091691	{t1,t4,t5}
13	4	0.10578942105789421	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.0888911108889111	{t3,t4,t5}
16	4	0.09929007099290071	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.16398360163983602	{t1,t2}
19	1	1.0	{t1}
20	2	0.16298370162983702	{t2,t3}
21	3	0.08089191080891911	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1653834616538346	{t1,t3}
24	2	0.1645835416458354	{t2,t4}
25	3	0.08309169083091691	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.16448355164483552	{t1,t4}
28	3	0.07939206079392061	{t2,t3,t4}
29	4	0.09499050094990501	{t1,t2,t3,t4}
30	2	0.17018298170182983	{t3,t4}
31	3	0.08689131086891311	{t1,t3,t4}

