No.	Size	Cred	Members
1	2	0.1623837616238376	{t2,t5}
2	3	0.0811918808119188	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.16678332166783322	{t1,t5}
5	3	0.0857914208579142	{t2,t3,t5}
6	4	0.09969003099690031	{t1,t2,t3,t5}
7	2	0.1703829617038296	{t3,t5}
8	3	0.08199180081991801	{t1,t3,t5}
9	3	0.08029197080291971	{t2,t4,t5}
10	4	0.096990300969903	{t1,t2,t4,t5}
11	2	0.1613838616138386	{t4,t5}
12	3	0.08159184081591841	{t1,t4,t5}
13	4	0.09719028097190281	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08159184081591841	{t3,t4,t5}
16	4	0.10338966103389662	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.1703829617038296	{t1,t2}
19	1	1.0	{t1}
20	2	0.1616838316168383	{t2,t3}
21	3	0.08969103089691031	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1645835416458354	{t1,t3}
24	2	0.1633836616338366	{t2,t4}
25	3	0.0857914208579142	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.17298270172982702	{t1,t4}
28	3	0.08409159084091591	{t2,t3,t4}
29	4	0.1040895910408959	{t1,t2,t3,t4}
30	2	0.1680831916808319	{t3,t4}
31	3	0.08459154084591541	{t1,t3,t4}

