No.	Size	Cred	Members
1	2	0.17128287171282872	{t2,t5}
2	3	0.08909109089091091	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.16698330166983302	{t1,t5}
5	3	0.0811918808119188	{t2,t3,t5}
6	4	0.09559044095590441	{t1,t2,t3,t5}
7	2	0.1628837116288371	{t3,t5}
8	3	0.0810918908109189	{t1,t3,t5}
9	3	0.08389161083891611	{t2,t4,t5}
10	4	0.10588941105889411	{t1,t2,t4,t5}
11	2	0.16478352164783522	{t4,t5}
12	3	0.08839116088391161	{t1,t4,t5}
13	4	0.09969003099690031	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.0822917708229177	{t3,t4,t5}
16	4	0.10488951104889511	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.1668833116688331	{t1,t2}
19	1	1.0	{t1}
20	2	0.16468353164683533	{t2,t3}
21	3	0.0805919408059194	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1665833416658334	{t1,t3}
24	2	0.16498350164983502	{t2,t4}
25	3	0.08259174082591741	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.15908409159084091	{t1,t4}
28	3	0.0796920307969203	{t2,t3,t4}
29	4	0.10118988101189881	{t1,t2,t3,t4}
30	2	0.17248275172482752	{t3,t4}
31	3	0.0832916708329167	{t1,t3,t4}

